"","Location","TimeFrame","DataFormat","Child","Unemployment"
"344","Blanco",2007,"Percent",0.17,0.034
"345","Blanco",2008,"Number",371,182
"346","Blanco",2008,"Percent",0.171,0.038
"347","Blanco",2009,"Number",440,262
"348","Blanco",2009,"Percent",0.2,0.051
"349","Blanco",2010,"Number",456,302
"350","Blanco",2010,"Percent",0.2,0.059
"351","Blanco",2011,"Number",471,314
"352","Blanco",2011,"Percent",0.211,0.061
"353","Borden",2001,"Number",14,8
"354","Borden",2001,"Percent",0.096,0.02
"355","Borden",2002,"Number",19,8
"356","Borden",2002,"Percent",0.133,0.023
"357","Borden",2003,"Number",11,14
"358","Borden",2003,"Percent",0.082,0.039
"359","Borden",2004,"Number",10,19
"360","Borden",2004,"Percent",0.084,0.037
"361","Borden",2005,"Number",12,18
"362","Borden",2005,"Percent",0.1,0.038
"363","Borden",2006,"Number",12,18
"364","Borden",2006,"Percent",0.108,0.043
"365","Borden",2007,"Number",8,16
"366","Borden",2007,"Percent",0.09,0.045
"367","Borden",2008,"Number",10,13
"368","Borden",2008,"Percent",0.114,0.032
"369","Borden",2009,"Number",18,24
"370","Borden",2009,"Percent",0.15,0.057
"371","Borden",2010,"Number",22,23
"372","Borden",2010,"Percent",0.155,0.05
"373","Borden",2011,"Number",21,21
"374","Borden",2011,"Percent",0.164,0.039
"375","Bosque",2001,"Number",942,295
"376","Bosque",2001,"Percent",0.223,0.044
"377","Bosque",2002,"Number",899,387
"378","Bosque",2002,"Percent",0.212,0.057
"379","Bosque",2003,"Number",942,426
"380","Bosque",2003,"Percent",0.223,0.061
"381","Bosque",2004,"Number",863,470
"382","Bosque",2004,"Percent",0.206,0.056
"383","Bosque",2005,"Number",974,408
"384","Bosque",2005,"Percent",0.236,0.048
"385","Bosque",2006,"Number",950,415
"386","Bosque",2006,"Percent",0.238,0.05
"387","Bosque",2007,"Number",995,362
"388","Bosque",2007,"Percent",0.248,0.044
"389","Bosque",2008,"Number",831,389
"390","Bosque",2008,"Percent",0.212,0.047
"391","Bosque",2009,"Number",902,680
"392","Bosque",2009,"Percent",0.225,0.079
"393","Bosque",2010,"Number",1129,728
"394","Bosque",2010,"Percent",0.274,0.087
"395","Bosque",2011,"Number",1053,705
"396","Bosque",2011,"Percent",0.261,0.085
"397","Bowie",2001,"Number",5376,1780
"398","Bowie",2001,"Percent",0.246,0.046
"399","Bowie",2002,"Number",5260,2149
"400","Bowie",2002,"Percent",0.24,0.055
"401","Bowie",2003,"Number",5425,2358
"402","Bowie",2003,"Percent",0.249,0.058
"403","Bowie",2004,"Number",5227,2631
"404","Bowie",2004,"Percent",0.24,0.062
"405","Bowie",2005,"Number",5543,2326
"406","Bowie",2005,"Percent",0.259,0.054
"407","Bowie",2006,"Number",5234,2336
"408","Bowie",2006,"Percent",0.245,0.054
"409","Bowie",2007,"Number",5049,2062
"410","Bowie",2007,"Percent",0.237,0.049
"411","Bowie",2008,"Number",5609,2214
"412","Bowie",2008,"Percent",0.26,0.051
"413","Bowie",2009,"Number",6273,2957
"414","Bowie",2009,"Percent",0.277,0.067
"415","Bowie",2010,"Number",6155,3756
"416","Bowie",2010,"Percent",0.278,0.083
"417","Bowie",2011,"Number",6190,3512
"418","Bowie",2011,"Percent",0.28,0.077
"419","Brazoria",2001,"Number",10168,6324
"420","Brazoria",2001,"Percent",0.14,0.059
"421","Brazoria",2002,"Number",9956,8180
"422","Brazoria",2002,"Percent",0.135,0.074
"423","Brazoria",2003,"Number",11352,10182
"424","Brazoria",2003,"Percent",0.151,0.089
"425","Brazoria",2004,"Number",10990,9153
"426","Brazoria",2004,"Percent",0.144,0.07
"427","Brazoria",2005,"Number",11958,7506
"428","Brazoria",2005,"Percent",0.159,0.056
"429","Brazoria",2006,"Number",12270,6817
"430","Brazoria",2006,"Percent",0.159,0.049
"431","Brazoria",2007,"Number",10233,6136
"432","Brazoria",2007,"Percent",0.126,0.044
"433","Brazoria",2008,"Number",10423,7435
"434","Brazoria",2008,"Percent",0.125,0.052
"435","Brazoria",2009,"Number",11796,11871
"436","Brazoria",2009,"Percent",0.139,0.081
"437","Brazoria",2010,"Number",13120,13384
"438","Brazoria",2010,"Percent",0.153,0.09
"439","Brazoria",2011,"Number",14645,13221
"440","Brazoria",2011,"Percent",0.169,0.086
"441","Brazos",2001,"Number",6379,1269
"442","Brazos",2001,"Percent",0.194,0.016
"443","Brazos",2002,"Number",6464,1489
"444","Brazos",2002,"Percent",0.191,0.019
"445","Brazos",2003,"Number",6994,1896
"446","Brazos",2003,"Percent",0.209,0.023
"447","Brazos",2004,"Number",6958,3662
"448","Brazos",2004,"Percent",0.213,0.043
"449","Brazos",2005,"Number",7921,3454
"450","Brazos",2005,"Percent",0.246,0.039
"451","Brazos",2006,"Number",7864,3563
"452","Brazos",2006,"Percent",0.229,0.04
"453","Brazos",2007,"Number",8140,3107
"454","Brazos",2007,"Percent",0.224,0.036
"455","Brazos",2008,"Number",8177,3542
"456","Brazos",2008,"Percent",0.216,0.039
