"","Location","TimeFrame","DataFormat","Child","Unemployment"
"270","Baylor",2002,"Percent",0.243,0.053
"271","Baylor",2003,"Number",233,95
"272","Baylor",2003,"Percent",0.258,0.053
"273","Baylor",2004,"Number",231,109
"274","Baylor",2004,"Percent",0.265,0.053
"275","Baylor",2005,"Number",266,90
"276","Baylor",2005,"Percent",0.31,0.048
"277","Baylor",2006,"Number",250,82
"278","Baylor",2006,"Percent",0.296,0.043
"279","Baylor",2007,"Number",254,78
"280","Baylor",2007,"Percent",0.293,0.038
"281","Baylor",2008,"Number",216,79
"282","Baylor",2008,"Percent",0.267,0.038
"283","Baylor",2009,"Number",250,114
"284","Baylor",2009,"Percent",0.302,0.058
"285","Baylor",2010,"Number",243,124
"286","Baylor",2010,"Percent",0.319,0.066
"287","Baylor",2011,"Number",244,113
"288","Baylor",2011,"Percent",0.32,0.058
"289","Bee",2000,"Number",2324,565
"290","Bee",2000,"Percent",0.318,0.054
"291","Bee",2001,"Number",2253,524
"292","Bee",2001,"Percent",0.309,0.05
"293","Bee",2002,"Number",2056,605
"294","Bee",2002,"Percent",0.282,0.057
"295","Bee",2003,"Number",2062,747
"296","Bee",2003,"Percent",0.293,0.07
"297","Bee",2004,"Number",1999,904
"298","Bee",2004,"Percent",0.29,0.079
"299","Bee",2005,"Number",2345,793
"300","Bee",2005,"Percent",0.346,0.071
"301","Bee",2006,"Number",2309,746
"302","Bee",2006,"Percent",0.337,0.064
"303","Bee",2007,"Number",1940,684
"304","Bee",2007,"Percent",0.294,0.06
"305","Bee",2008,"Number",2104,712
"306","Bee",2008,"Percent",0.319,0.063
"307","Bee",2009,"Number",2170,1104
"308","Bee",2009,"Percent",0.322,0.093
"309","Bee",2010,"Number",2344,1126
"310","Bee",2010,"Percent",0.346,0.091
"311","Bee",2011,"Number",2478,1083
"312","Bee",2011,"Percent",0.363,0.086
"313","Bell",2000,"Number",13069,3014
"314","Bell",2000,"Percent",0.182,0.032
"315","Bell",2001,"Number",13712,3987
"316","Bell",2001,"Percent",0.185,0.042
"317","Bell",2002,"Number",13949,5143
"318","Bell",2002,"Percent",0.182,0.052
"319","Bell",2003,"Number",16503,5663
"320","Bell",2003,"Percent",0.212,0.055
"321","Bell",2004,"Number",14061,6198
"322","Bell",2004,"Percent",0.175,0.056
"323","Bell",2005,"Number",15001,5907
"324","Bell",2005,"Percent",0.19,0.051
"325","Bell",2006,"Number",15314,5911
"326","Bell",2006,"Percent",0.194,0.051
"327","Bell",2007,"Number",16654,5193
"328","Bell",2007,"Percent",0.196,0.045
"329","Bell",2008,"Number",16980,6049
"330","Bell",2008,"Percent",0.192,0.049
"331","Bell",2009,"Number",17337,8479
"332","Bell",2009,"Percent",0.207,0.067
"333","Bell",2010,"Number",17646,9823
"334","Bell",2010,"Percent",0.202,0.075
"335","Bell",2011,"Number",20447,10982
"336","Bell",2011,"Percent",0.233,0.08
"337","Bexar",2000,"Number",90867,23902
"338","Bexar",2000,"Percent",0.227,0.035
"339","Bexar",2001,"Number",95798,27967
"340","Bexar",2001,"Percent",0.235,0.041
"341","Bexar",2002,"Number",100377,37214
"342","Bexar",2002,"Percent",0.242,0.053
"343","Bexar",2003,"Number",105805,40791
"344","Bexar",2003,"Percent",0.253,0.057
"345","Bexar",2004,"Number",104297,41061
"346","Bexar",2004,"Percent",0.247,0.058
"347","Bexar",2005,"Number",100709,36141
"348","Bexar",2005,"Percent",0.242,0.05
"349","Bexar",2006,"Number",103155,34792
"350","Bexar",2006,"Percent",0.241,0.047
"351","Bexar",2007,"Number",102413,30575
"352","Bexar",2007,"Percent",0.231,0.042
"353","Bexar",2008,"Number",106430,35587
"354","Bexar",2008,"Percent",0.235,0.047
"355","Bexar",2009,"Number",114392,52047
"356","Bexar",2009,"Percent",0.251,0.068
"357","Bexar",2010,"Number",113149,58145
"358","Bexar",2010,"Percent",0.246,0.074
"359","Bexar",2011,"Number",119063,60889
"360","Bexar",2011,"Percent",0.256,0.076
"361","Blanco",2000,"Number",347,78
"362","Blanco",2000,"Percent",0.165,0.02
"363","Blanco",2001,"Number",365,100
"364","Blanco",2001,"Percent",0.173,0.027
"365","Blanco",2002,"Number",287,154
"366","Blanco",2002,"Percent",0.135,0.039
"367","Blanco",2003,"Number",319,155
"368","Blanco",2003,"Percent",0.146,0.038
"369","Blanco",2004,"Number",316,205
"370","Blanco",2004,"Percent",0.15,0.043
"371","Blanco",2005,"Number",340,181
"372","Blanco",2005,"Percent",0.164,0.038
"373","Blanco",2006,"Number",386,186
