Location,TimeFrame,DataFormat,Data
Val Verde,2000,Number,44856
Van Zandt,2000,Number,48140
Victoria,2000,Number,84088
Walker,2000,Number,61758
Waller,2000,Number,32663
Ward,2000,Number,10909
Washington,2000,Number,30373
Webb,2000,Number,193117
Wharton,2000,Number,41188
Wheeler,2000,Number,5284
Wichita,2000,Number,131664
Wilbarger,2000,Number,14676
Willacy,2000,Number,20082
Williamson,2000,Number,249967
Wilson,2000,Number,32408
Winkler,2000,Number,7173
Wise,2000,Number,48793
Wood,2000,Number,36752
Yoakum,2000,Number,7322
Young,2000,Number,17943
Zapata,2000,Number,12182
Zavala,2000,Number,11600
Hood,2011,Number,52105
Hopkins,2011,Number,35489
Houston,2011,Number,23752
Howard,2011,Number,35172
Hudspeth,2011,Number,3500
Hunt,2011,Number,87214
Hutchinson,2011,Number,22190
Irion,2011,Number,1641
Jack,2011,Number,9105
Jackson,2011,Number,14110
Jasper,2011,Number,35918
Jeff Davis,2011,Number,2387
Jefferson,2011,Number,253151
Jim Hogg,2011,Number,5318
Jim Wells,2011,Number,41585
Johnson,2011,Number,153383
Jones,2011,Number,20289
Karnes,2011,Number,15000
Kaufman,2011,Number,105343
Kendall,2011,Number,34622
Kenedy,2011,Number,428
Kent,2011,Number,809
Kerr,2011,Number,49914
Kimble,2011,Number,4642
King,2011,Number,288
Kinney,2011,Number,3670
Kleberg,2011,Number,32190
Knox,2011,Number,3644
Lamar,2011,Number,50190
Lamb,2011,Number,14092
Lampasas,2011,Number,19928
La Salle,2011,Number,7071
Lavaca,2011,Number,19567
Lee,2011,Number,16680
Leon,2011,Number,17141
Liberty,2011,Number,75923
Limestone,2011,Number,23716
Lipscomb,2011,Number,3351
Live Oak,2011,Number,11721
Llano,2011,Number,19501
Loving,2011,Number,83
Lubbock,2011,Number,283151
Lynn,2011,Number,5923
McCulloch,2011,Number,8323
McLennan,2011,Number,238338
McMullen,2011,Number,832
Madison,2011,Number,13745
Marion,2011,Number,10596
Martin,2011,Number,4817
Mason,2011,Number,4055
Matagorda,2011,Number,36838
Maverick,2011,Number,55363
Medina,2011,Number,46391
Menard,2011,Number,2270
Midland,2011,Number,140462
Milam,2011,Number,24915
Mills,2011,Number,4969
Mitchell,2011,Number,9439
Montague,2011,Number,19795
Montgomery,2011,Number,471894
Moore,2011,Number,21995
Morris,2011,Number,12964
Motley,2011,Number,1185
Nacogdoches,2011,Number,65260
Navarro,2011,Number,48304
Newton,2011,Number,14523
Nolan,2011,Number,15303
Nueces,2011,Number,346340
Ochiltree,2011,Number,10377
Oldham,2011,Number,2079
Orange,2011,Number,82033
Palo Pinto,2011,Number,28295
Panola,2011,Number,24016
Parker,2011,Number,119530
Parmer,2011,Number,10338
Pecos,2011,Number,15520
Polk,2011,Number,45605
Potter,2011,Number,122300
Presidio,2011,Number,7901
Rains,2011,Number,11065
Randall,2011,Number,123899
Reagan,2011,Number,3388
Real,2011,Number,3387
Red River,2011,Number,12839
Reeves,2011,Number,13832
Refugio,2011,Number,7391
Roberts,2011,Number,934
Robertson,2011,Number,17021
Rockwall,2011,Number,81204
Runnels,2011,Number,10569
Rusk,2011,Number,53806
Sabine,2011,Number,10929
San Augustine,2011,Number,8909
San Jacinto,2011,Number,26785
San Patricio,2011,Number,64974
San Saba,2011,Number,6176
Schleicher,2011,Number,3472
Scurry,2011,Number,16983
Shackelford,2011,Number,3383
Shelby,2011,Number,25787
Sherman,2011,Number,3067
Smith,2011,Number,213578
Somervell,2011,Number,8618
Starr,2011,Number,61804
Stephens,2011,Number,9627
Sterling,2011,Number,1158
Stonewall,2011,Number,1475
Sutton,2011,Number,4151
Swisher,2011,Number,7860
Tarrant,2011,Number,1848382
Taylor,2011,Number,132380
Terrell,2011,Number,983
Terry,2011,Number,12746
Throckmorton,2011,Number,1623
Titus,2011,Number,32680
Tom Green,2011,Number,111001
Travis,2011,Number,1049785
Trinity,2011,Number,14667
Tyler,2011,Number,21882
Upshur,2011,Number,39851
Upton,2011,Number,3366
Uvalde,2011,Number,26466
Val Verde,2011,Number,49216
Van Zandt,2011,Number,52814
Victoria,2011,Number,87393
