Location,TimeFrame,DataFormat,Data
Bandera,2002,Number,874
Bandera,2003,Number,893
Bandera,2004,Number,830
Bandera,2005,Number,862
Bandera,1989,Percent,0.178
Bandera,1993,Percent,0.172
Bandera,1995,Percent,0.178
Bandera,1997,Percent,0.216
Bandera,1998,Percent,0.206
Bandera,1999,Percent,0.138
Bandera,2000,Percent,0.199
Bandera,2001,Percent,0.195
Bandera,2002,Percent,0.194
Bandera,2003,Percent,0.2
Bandera,2004,Percent,0.191
Bandera,2005,Percent,0.203
Bandera,2006,Number,919
Bandera,2006,Percent,0.218
Bandera,2007,Number,956
Bandera,2007,Percent,0.225
Bandera,2008,Number,942
Bandera,2008,Percent,0.226
Bandera,2009,Number,919
Bandera,2009,Percent,0.23
Bandera,2010,Number,1051
Bandera,2010,Percent,0.273
Bandera,2011,Number,902
Bandera,2011,Percent,0.244
Bastrop,1989,Number,2624
Bastrop,1993,Number,2926
Bastrop,1995,Number,2973
Bastrop,1997,Number,2940
Bastrop,1998,Number,2959
Bastrop,1999,Number,2531
Bastrop,2000,Number,2800
Bastrop,2001,Number,2846
Bastrop,2002,Number,2896
Bastrop,2003,Number,3264
Bastrop,2004,Number,3341
Bastrop,2005,Number,3194
Bastrop,1989,Percent,0.237
Bastrop,1993,Percent,0.233
Bastrop,1995,Percent,0.213
Bastrop,1997,Percent,0.194
Bastrop,1998,Percent,0.188
Bastrop,1999,Percent,0.16
Bastrop,2000,Percent,0.166
Bastrop,2001,Percent,0.163
Bastrop,2002,Percent,0.159
Bastrop,2003,Percent,0.179
Bastrop,2004,Percent,0.184
Bastrop,2005,Percent,0.178
Bastrop,2006,Number,3275
Bastrop,2006,Percent,0.183
Bastrop,2007,Number,3322
Bastrop,2007,Percent,0.18
Bastrop,2008,Number,3517
Bastrop,2008,Percent,0.189
Bastrop,2009,Number,4159
Bastrop,2009,Percent,0.218
Bastrop,2010,Number,4696
Bastrop,2010,Percent,0.244
Bastrop,2011,Number,4345
Bastrop,2011,Percent,0.226
Baylor,1989,Number,290
Baylor,1993,Number,258
Baylor,1995,Number,291
Baylor,1997,Number,284
Baylor,1998,Number,283
Baylor,1999,Number,246
Baylor,2000,Number,241
Baylor,2001,Number,243
Baylor,2002,Number,222
Baylor,2003,Number,233
Baylor,2004,Number,231
Baylor,2005,Number,266
Baylor,1989,Percent,0.313
Baylor,1993,Percent,0.269
Baylor,1995,Percent,0.308
Baylor,1997,Percent,0.296
Baylor,1998,Percent,0.304
Baylor,1999,Percent,0.263
Baylor,2000,Percent,0.259
Baylor,2001,Percent,0.265
Baylor,2002,Percent,0.243
Baylor,2003,Percent,0.258
Baylor,2004,Percent,0.265
Baylor,2005,Percent,0.31
Baylor,2006,Number,250
Baylor,2006,Percent,0.296
Baylor,2007,Number,254
Baylor,2007,Percent,0.293
Baylor,2008,Number,216
Baylor,2008,Percent,0.267
Baylor,2009,Number,250
Baylor,2009,Percent,0.302
Baylor,2010,Number,243
Baylor,2010,Percent,0.319
Baylor,2011,Number,244
Baylor,2011,Percent,0.32
Bee,1989,Number,2703
Bee,1993,Number,2737
Bee,1995,Number,2907
Bee,1997,Number,2588
Bee,1998,Number,2379
Bee,1999,Number,2522
Bee,2000,Number,2324
Bee,2001,Number,2253
Bee,2002,Number,2056
Bee,2003,Number,2062
Bee,2004,Number,1999
Bee,2005,Number,2345
Bee,1989,Percent,0.346
Bee,1993,Percent,0.356
Bee,1995,Percent,0.365
Bee,1997,Percent,0.323
Bee,1998,Percent,0.301
Bee,1999,Percent,0.342
Bee,2000,Percent,0.318
Bee,2001,Percent,0.309
Bee,2002,Percent,0.282
Bee,2003,Percent,0.293
Bee,2004,Percent,0.29
Bee,2005,Percent,0.346
Bee,2006,Number,2309
Bee,2006,Percent,0.337
Bee,2007,Number,1940
Bee,2007,Percent,0.294
Bee,2008,Number,2104
Bee,2008,Percent,0.319
Bee,2009,Number,2170
Bee,2009,Percent,0.322
Bee,2010,Number,2344
Bee,2010,Percent,0.346
Bee,2011,Number,2478
Bee,2011,Percent,0.363
Bell,1989,Number,11469
Bell,1993,Number,14628
Bell,1995,Number,14185
Bell,1997,Number,14141
Bell,1998,Number,14394
Bell,1999,Number,11266
