Location,TimeFrame,DataFormat,Data
Borden,2007,Number,700
Borden,2009,Number,705
Borden,2008,Number,698
Borden,2010,Number,641
Borden,2011,Number,646
Bosque,1990,Number,15125
Bosque,1991,Number,15683
Bosque,1992,Number,15495
Bosque,1993,Number,15578
Bosque,1994,Number,15863
Bosque,1995,Number,16245
Bosque,1996,Number,16595
Bosque,1997,Number,16436
Bosque,1998,Number,16271
Bosque,1999,Number,16182
Bosque,2000,Number,17204
Bosque,2001,Number,17549
Bosque,2002,Number,17595
Bosque,2003,Number,17665
Bosque,2004,Number,17914
Bosque,2005,Number,18156
Bosque,2006,Number,18272
Bosque,2007,Number,18364
Bosque,2009,Number,18423
Bosque,2008,Number,18289
Bosque,2010,Number,18212
Bosque,2011,Number,18356
Bowie,1990,Number,81665
Bowie,1991,Number,82798
Bowie,1992,Number,84159
Bowie,1993,Number,84431
Bowie,1994,Number,83435
Bowie,1995,Number,84313
Bowie,1996,Number,85080
Bowie,1997,Number,83591
Bowie,1998,Number,83212
Bowie,1999,Number,82428
Bowie,2000,Number,89306
Bowie,2001,Number,90651
Bowie,2002,Number,91178
Bowie,2003,Number,91101
Bowie,2004,Number,91439
Bowie,2005,Number,92271
Bowie,2006,Number,93286
Bowie,2007,Number,93280
Bowie,2009,Number,94160
Bowie,2008,Number,93354
Bowie,2010,Number,92565
Bowie,2011,Number,93275
Brazoria,1990,Number,191707
Brazoria,1991,Number,198182
Brazoria,1992,Number,202722
Brazoria,1993,Number,208337
Brazoria,1994,Number,211248
Brazoria,1995,Number,215377
Brazoria,1996,Number,219898
Brazoria,1997,Number,224910
Brazoria,1998,Number,227033
Brazoria,1999,Number,233369
Brazoria,2000,Number,241767
Brazoria,2001,Number,248171
Brazoria,2002,Number,255841
Brazoria,2003,Number,262107
Brazoria,2004,Number,270711
Brazoria,2005,Number,276956
Brazoria,2006,Number,286773
Brazoria,2007,Number,293315
Brazoria,2009,Number,308890
Brazoria,2008,Number,301011
Brazoria,2010,Number,313166
Brazoria,2011,Number,319949
Brazos,1990,Number,121862
Brazos,1991,Number,126467
Brazos,1992,Number,128289
Brazos,1993,Number,134558
Brazos,1994,Number,135003
Brazos,1995,Number,136363
Brazos,1996,Number,138093
Brazos,1997,Number,139352
Brazos,1998,Number,142259
Brazos,1999,Number,143097
Brazos,2000,Number,152415
Brazos,2001,Number,155449
Brazos,2002,Number,160406
Brazos,2003,Number,161304
Brazos,2004,Number,161302
Brazos,2005,Number,160863
Brazos,2006,Number,167228
Brazos,2007,Number,169263
Brazos,2009,Number,180051
Brazos,2008,Number,174284
Brazos,2010,Number,194851
Brazos,2011,Number,198311
Brewster,1990,Number,8681
Brewster,1991,Number,8750
Brewster,1992,Number,8791
Brewster,1993,Number,8900
Brewster,1994,Number,9072
Brewster,1995,Number,9318
