Location,TimeFrame,DataFormat,Data
Bastrop,1996,Percent,0.034
Bastrop,1996,Number,829
Bastrop,1995,Number,636
Bastrop,1995,Percent,0.027
Bastrop,1994,Number,673
Bastrop,1994,Percent,0.031
Bastrop,1993,Percent,0.035
Bastrop,1993,Number,728
Bastrop,1992,Percent,0.045
Bastrop,1992,Number,880
Bastrop,1991,Percent,0.042
Bastrop,1991,Number,777
Bastrop,1990,Percent,0.047
Bastrop,1990,Number,876
Baylor,1990,Number,74
Baylor,1990,Percent,0.037
Baylor,1991,Number,118
Baylor,1991,Percent,0.062
Baylor,1992,Number,73
Baylor,1992,Percent,0.039
Baylor,1993,Number,74
Baylor,1993,Percent,0.04
Baylor,1994,Percent,0.046
Baylor,1994,Number,85
Baylor,1995,Percent,0.05
Baylor,1995,Number,94
Baylor,1996,Number,96
Baylor,1996,Percent,0.053
Baylor,1997,Percent,0.058
Baylor,1997,Number,103
Baylor,1998,Number,95
Baylor,1998,Percent,0.052
Baylor,1999,Number,73
Baylor,1999,Percent,0.042
Baylor,2000,Percent,0.042
Baylor,2000,Number,68
Baylor,2001,Percent,0.042
Baylor,2001,Number,69
Baylor,2002,Number,87
Baylor,2002,Percent,0.053
Baylor,2003,Percent,0.053
Baylor,2003,Number,95
Baylor,2004,Number,109
Baylor,2004,Percent,0.053
Baylor,2005,Number,90
Baylor,2005,Percent,0.048
Baylor,2006,Number,82
Baylor,2006,Percent,0.043
Baylor,2007,Number,78
Baylor,2007,Percent,0.038
Baylor,2008,Number,79
Baylor,2008,Percent,0.038
Baylor,2009,Percent,0.058
Baylor,2009,Number,114
Baylor,2010,Percent,0.066
Baylor,2011,Percent,0.058
Baylor,2011,Number,113
Baylor,2012,Percent,0.043
Baylor,2012,Number,97
Baylor,2010,Number,124
Bee,2010,Number,1126
Bee,2012,Number,904
Bee,2012,Percent,0.07
Bee,2011,Number,1083
Bee,2011,Percent,0.086
Bee,2010,Percent,0.091
Bee,2009,Number,1104
Bee,2009,Percent,0.093
Bee,2008,Percent,0.063
Bee,2008,Number,712
Bee,2007,Percent,0.06
Bee,2007,Number,684
Bee,2006,Percent,0.064
Bee,2006,Number,746
Bee,2005,Percent,0.071
Bee,2005,Number,793
Bee,2004,Percent,0.079
Bee,2004,Number,904
Bee,2003,Number,747
Bee,2003,Percent,0.07
Bee,2002,Percent,0.057
Bee,2002,Number,605
Bee,2001,Number,524
Bee,2001,Percent,0.05
Bee,2000,Number,565
Bee,2000,Percent,0.054
Bee,1999,Percent,0.061
Bee,1999,Number,659
Bee,1998,Percent,0.057
Bee,1998,Number,632
Bee,1997,Number,638
Bee,1997,Percent,0.059
Bee,1996,Percent,0.068
Bee,1996,Number,751
Bee,1995,Number,908
Bee,1995,Percent,0.081
Bee,1994,Number,935
Bee,1994,Percent,0.088
Bee,1993,Percent,0.132
Bee,1993,Number,1339
Bee,1992,Percent,0.11
Bee,1992,Number,1041
Bee,1991,Percent,0.072
Bee,1991,Number,668
Bee,1990,Percent,0.07
Bee,1990,Number,683
Bell,1990,Number,5528
Bell,1990,Percent,0.072
Bell,1991,Number,5008
Bell,1991,Percent,0.066
Bell,1992,Number,5565
Bell,1992,Percent,0.07
Bell,1993,Number,4965
Bell,1993,Percent,0.059
Bell,1994,Percent,0.055
Bell,1994,Number,4767
Bell,1995,Percent,0.049
Bell,1995,Number,4419
Bell,1996,Number,4433
Bell,1996,Percent,0.049
Bell,1997,Percent,0.052
Bell,1997,Number,4750
Bell,1998,Number,3991
Bell,1998,Percent,0.043
Bell,1999,Number,3184
Bell,1999,Percent,0.034
Bell,2000,Percent,0.032
Bell,2000,Number,3014
Bell,2001,Percent,0.042
Bell,2001,Number,3987
Bell,2002,Number,5143
Bell,2002,Percent,0.052
Bell,2003,Percent,0.055
Bell,2003,Number,5663
Bell,2004,Number,6198
Bell,2004,Percent,0.056
Bell,2005,Number,5907
Bell,2005,Percent,0.051
Bell,2006,Number,5911
Bell,2006,Percent,0.051
Bell,2007,Number,5193
Bell,2007,Percent,0.045
Bell,2008,Number,6049
Bell,2008,Percent,0.049
Bell,2009,Percent,0.067
Bell,2009,Number,8479
Bell,2010,Percent,0.075
Bell,2011,Percent,0.08
Bell,2011,Number,10982
Bell,2012,Percent,0.073
Bell,2012,Number,9942
Bell,2010,Number,9823
Bexar,2010,Number,58145
Bexar,2012,Number,53673
Bexar,2012,Percent,0.066
Bexar,2011,Number,60889
Bexar,2011,Percent,0.076
Bexar,2010,Percent,0.074
Bexar,2009,Number,52047
Bexar,2009,Percent,0.068
Bexar,2008,Percent,0.047
Bexar,2008,Number,35587
Bexar,2007,Percent,0.042
Bexar,2007,Number,30575
Bexar,2006,Percent,0.047
Bexar,2006,Number,34792
Bexar,2005,Percent,0.05
Bexar,2005,Number,36141
Bexar,2004,Percent,0.058
Bexar,2004,Number,41061
Bexar,2003,Number,40791
Bexar,2003,Percent,0.057
Bexar,2002,Percent,0.053
Bexar,2002,Number,37214
Bexar,2001,Number,27967
Bexar,2001,Percent,0.041
Bexar,2000,Number,23902
Bexar,2000,Percent,0.035
Bexar,1999,Percent,0.032
Bexar,1999,Number,21611
Bexar,1998,Percent,0.038
Bexar,1998,Number,25296
Bexar,1997,Number,27505
Bexar,1997,Percent,0.042
Bexar,1996,Percent,0.045
Bexar,1996,Number,28753
Bexar,1995,Number,29152
Bexar,1995,Percent,0.046
Bexar,1994,Number,29271
Bexar,1994,Percent,0.047
Bexar,1993,Percent,0.056
Bexar,1993,Number,33629
Bexar,1992,Percent,0.064
Bexar,1992,Number,37842
Bexar,1991,Percent,0.067
Bexar,1991,Number,37909
Bexar,1990,Percent,0.073
Bexar,1990,Number,40973
Blanco,1990,Number,46
Blanco,1990,Percent,0.016
Blanco,1991,Number,84
Blanco,1991,Percent,0.029
Blanco,1992,Number,118
Blanco,1992,Percent,0.04
Blanco,1993,Number,106
Blanco,1993,Percent,0.034
Blanco,1994,Percent,0.027
Blanco,1994,Number,87
Blanco,1995,Percent,0.024
Blanco,1995,Number,82
Blanco,1996,Number,97
Blanco,1996,Percent,0.027
Blanco,1997,Percent,0.026
Blanco,1997,Number,92
Blanco,1998,Number,82
Blanco,1998,Percent,0.022
Blanco,1999,Number,83
Blanco,1999,Percent,0.021
Blanco,2000,Percent,0.02
Blanco,2000,Number,78
Blanco,2001,Percent,0.027
Blanco,2001,Number,100
Blanco,2002,Number,154
Blanco,2002,Percent,0.039
Blanco,2003,Percent,0.038
Blanco,2003,Number,155
Blanco,2004,Number,205
Blanco,2004,Percent,0.043
Blanco,2005,Number,181
Blanco,2005,Percent,0.038
Blanco,2006,Number,186
Blanco,2006,Percent,0.04
Blanco,2007,Percent,0.034
Blanco,2007,Number,165
Blanco,2008,Number,182
Blanco,2008,Percent,0.038
Blanco,2009,Percent,0.051
Blanco,2009,Number,262
Blanco,2010,Percent,0.059
Blanco,2011,Percent,0.061
Blanco,2011,Number,314
Blanco,2012,Percent,0.055
Blanco,2012,Number,285
Blanco,2010,Number,302
Borden,2010,Number,23
Borden,2012,Number,18
Borden,2012,Percent,0.03
Borden,2011,Number,21
Borden,2011,Percent,0.039
Borden,2010,Percent,0.05
Borden,2009,Number,24
Borden,2009,Percent,0.057
Borden,2008,Percent,0.032
Borden,2008,Number,13
Borden,2007,Number,16
Borden,2007,Percent,0.045
Borden,2006,Percent,0.043
Borden,2006,Number,18
Borden,2005,Percent,0.038
Borden,2005,Number,18
Borden,2004,Percent,0.037
Borden,2004,Number,19
Borden,2003,Number,14
Borden,2003,Percent,0.039
Borden,2002,Percent,0.023
Borden,2002,Number,8
Borden,2001,Number,8
Borden,2001,Percent,0.02
Borden,2000,Number,5
Borden,2000,Percent,0.013
Borden,1999,Percent,0.023
Borden,1999,Number,9
Borden,1998,Percent,0.02
Borden,1998,Number,8
Borden,1997,Number,7
Borden,1997,Percent,0.018
Borden,1996,Percent,0.015
Borden,1996,Number,6
Borden,1995,Number,11
Borden,1995,Percent,0.027
Borden,1994,Number,21
Borden,1994,Percent,0.051
Borden,1993,Percent,0.03
Borden,1993,Number,12
Borden,1992,Percent,0.045
Borden,1992,Number,17
Borden,1991,Percent,0.051
Borden,1991,Number,20
Borden,1990,Percent,0.032
Borden,1990,Number,14
Bosque,1990,Number,438
Bosque,1990,Percent,0.069
Bosque,1991,Number,483
Bosque,1991,Percent,0.082
Bosque,1992,Number,347
Bosque,1992,Percent,0.057
Bosque,1993,Number,417
Bosque,1993,Percent,0.065
Bosque,1994,Percent,0.049
Bosque,1994,Number,305
Bosque,1995,Percent,0.05
Bosque,1995,Number,315
Bosque,1996,Number,271
Bosque,1996,Percent,0.042
Bosque,1997,Percent,0.047
Bosque,1997,Number,304
Bosque,1998,Number,272
Bosque,1998,Percent,0.041
Bosque,1999,Number,257
Bosque,1999,Percent,0.036
Bosque,2000,Percent,0.036
Bosque,2000,Number,242
Bosque,2001,Percent,0.044
Bosque,2001,Number,295
Bosque,2002,Number,387
Bosque,2002,Percent,0.057
Bosque,2003,Percent,0.061
Bosque,2003,Number,426
Bosque,2004,Number,470
Bosque,2004,Percent,0.056
Bosque,2005,Number,408
Bosque,2005,Percent,0.048
Bosque,2006,Number,415
Bosque,2006,Percent,0.05
Bosque,2007,Percent,0.044
Bosque,2007,Number,362
Bosque,2008,Number,389
Bosque,2008,Percent,0.047
Bosque,2009,Percent,0.079
Bosque,2009,Number,680
Bosque,2010,Percent,0.087
Bosque,2011,Percent,0.085
Bosque,2011,Number,705
Bosque,2012,Percent,0.074
Bosque,2012,Number,598
Bosque,2010,Number,728
Bowie,2010,Number,3756
Bowie,2012,Number,3031
Bowie,2012,Percent,0.068
Bowie,2011,Number,3512
Bowie,2011,Percent,0.077
Bowie,2010,Percent,0.083
Bowie,2009,Number,2957
Bowie,2009,Percent,0.067
Bowie,2008,Percent,0.051
Bowie,2008,Number,2214
Bowie,2007,Number,2062
Bowie,2007,Percent,0.049
Bowie,2006,Percent,0.054
Bowie,2006,Number,2336
Bowie,2005,Percent,0.054
Bowie,2005,Number,2326
Bowie,2004,Percent,0.062
Bowie,2004,Number,2631
Bowie,2003,Number,2358
Bowie,2003,Percent,0.058
Bowie,2002,Percent,0.055
Bowie,2002,Number,2149
Bowie,2001,Number,1780
Bowie,2001,Percent,0.046
Bowie,2000,Number,1928
Bowie,2000,Percent,0.05
Bowie,1999,Percent,0.056
Bowie,1999,Number,2201
Bowie,1998,Percent,0.083
Bowie,1998,Number,3282
Bowie,1997,Number,3358
Bowie,1997,Percent,0.084
Bowie,1996,Percent,0.078
Bowie,1996,Number,3088
Bowie,1995,Number,3341
Bowie,1995,Percent,0.084
Bowie,1994,Number,3941
Bowie,1994,Percent,0.098
Bowie,1993,Percent,0.093
Bowie,1993,Number,3684
Bowie,1992,Percent,0.095
Bowie,1992,Number,3739
Bowie,1991,Percent,0.084
Bowie,1991,Number,3211
Bowie,1990,Percent,0.067
Bowie,1990,Number,2536
Brazoria,1990,Number,4527
Brazoria,1990,Percent,0.046
Brazoria,1991,Number,4849
Brazoria,1991,Percent,0.047
Brazoria,1992,Number,7367
Brazoria,1992,Percent,0.072
Brazoria,1993,Number,8035
Brazoria,1993,Percent,0.077
Brazoria,1994,Percent,0.072
Brazoria,1994,Number,7698
Brazoria,1995,Percent,0.074
Brazoria,1995,Number,7853
Brazoria,1996,Number,7027
Brazoria,1996,Percent,0.067
Brazoria,1997,Percent,0.073
Brazoria,1997,Number,7694
Brazoria,1998,Number,6420
Brazoria,1998,Percent,0.061
Brazoria,1999,Number,7057
Brazoria,1999,Percent,0.068
Brazoria,2000,Percent,0.062
Brazoria,2000,Number,6627
Brazoria,2001,Percent,0.059
Brazoria,2001,Number,6324
Brazoria,2002,Number,8180
Brazoria,2002,Percent,0.074
Brazoria,2003,Percent,0.089
Brazoria,2003,Number,10182
Brazoria,2004,Number,9153
Brazoria,2004,Percent,0.07
Brazoria,2005,Number,7506
Brazoria,2005,Percent,0.056
Brazoria,2006,Number,6817
Brazoria,2006,Percent,0.049
Brazoria,2007,Percent,0.044
Brazoria,2007,Number,6136
